Simulation Parameters
Resistance,1000
Capacitance, 0.01

Input Voltage 1
Type, sinusoidalAmplitude, 10Frequency, 1000Phase Angle, 0DC Offset, 0

Simulation Results
t,V_in,V_out
0,0,0
6.25e-005,3.82683,3.82683
0.000125,7.07107,7.07104
0.0001875,9.2388,9.23873
0.00025,10,9.99989
0.0003125,9.2388,9.23865
0.000375,7.07107,7.07089
0.0004375,3.82683,3.82663
0.0005,1.22461e-015,-0.000211521
0.0005625,-3.82683,-3.82704
0.000625,-7.07107,-7.07125
0.0006875,-9.2388,-9.23894
0.00075,-10,-10.0001
0.0008125,-9.2388,-9.23886
0.000875,-7.07107,-7.0711
0.0009375,-3.82683,-3.82684
0.001,2.41961e-014,7.0506e-009
0.0010625,3.82683,3.82683
0.001125,7.07107,7.07104
0.0011875,9.2388,9.23873
0.00125,10,9.99989
0.0013125,9.2388,9.23865
0.001375,7.07107,7.07089
0.0014375,3.82683,3.82663
0.0015,-4.96169e-014,-0.000211514
0.0015625,-3.82683,-3.82704
0.001625,-7.07107,-7.07125
0.0016875,-9.2388,-9.23894
0.00175,-10,-10.0001
0.0018125,-9.2388,-9.23886
0.001875,-7.07107,-7.0711
0.0019375,-3.82683,-3.82684
0.002,8.39194e-014,1.41008e-008
0.0020625,3.82683,3.82683
0.002125,7.07107,7.07104
0.0021875,9.2388,9.23873
0.00225,10,9.99989
0.0023125,9.2388,9.23865
0.002375,7.07107,7.07089
0.0024375,3.82683,3.82663
0.0025,-1.00458e-013,-0.000211507
0.0025625,-3.82683,-3.82704
0.002625,-7.07107,-7.07125
0.0026875,-9.2388,-9.23894
0.00275,-10,-10.0001
0.0028125,-9.2388,-9.23886
0.002875,-7.07107,-7.0711
0.0029375,-3.82683,-3.82684
0.003,1.34761e-013,2.11504e-008
0.0030625,3.82683,3.82683
0.003125,7.07107,7.07104
0.0031875,9.2388,9.23873
0.00325,10,9.99989
0.0033125,9.2388,9.23865
0.003375,7.07107,7.07089
0.0034375,3.82683,3.82663
0.0035,-1.69063e-013,-0.0002115
0.0035625,-3.82683,-3.82704
0.003625,-7.07107,-7.07125
0.0036875,-9.2388,-9.23894
0.00375,-10,-10.0001
0.0038125,-9.2388,-9.23886
0.003875,-7.07107,-7.0711
0.0039375,-3.82683,-3.82684
0.004,1.67839e-013,2.81996e-008
0.0040625,3.82683,3.82683
0.004125,7.07107,7.07104
0.0041875,9.2388,9.23873
0.00425,10,9.99989
0.0043125,9.2388,9.23865
0.004375,7.07107,7.07089
0.0044375,3.82683,3.82663
0.0045,-2.02141e-013,-0.000211493
0.0045625,-3.82683,-3.82704
0.004625,-7.07107,-7.07125
0.0046875,-9.2388,-9.23894
0.00475,-10,-10.0001
0.0048125,-9.2388,-9.23886
0.004875,-7.07107,-7.0711
0.0049375,-3.82683,-3.82684
0.005,2.00917e-013,3.52484e-008
0.0050625,3.82683,3.82683
0.005125,7.07107,7.07104
0.0051875,9.2388,9.23873
0.00525,10,9.99989
0.0053125,9.2388,9.23865
0.005375,7.07107,7.07089
0.0054375,3.82683,3.82663
0.0055,-2.35219e-013,-0.000211486
0.0055625,-3.82683,-3.82704
0.005625,-7.07107,-7.07125
0.0056875,-9.2388,-9.23894
0.00575,-10,-10.0001
0.0058125,-9.2388,-9.23886
0.005875,-7.07107,-7.0711
0.0059375,-3.82683,-3.82684
0.006,2.69522e-013,4.22967e-008
0.0060625,3.82683,3.82683
0.006125,7.07107,7.07104
0.0061875,9.2388,9.23873
0.00625,10,9.99989
0.0063125,9.2388,9.23865
0.006375,7.07107,7.07089
0.0064375,3.82683,3.82663
0.0065,-3.03824e-013,-0.000211479
0.0065625,-3.82683,-3.82704
0.006625,-7.07107,-7.07125
0.0066875,-9.2388,-9.23894
0.00675,-10,-10.0001
0.0068125,-9.2388,-9.23886
0.006875,-7.07107,-7.0711
0.0069375,-3.82683,-3.82684
0.007,3.38127e-013,4.93445e-008
0.0070625,3.82683,3.82683
0.007125,7.07107,7.07104
0.0071875,9.2388,9.23873
0.00725,10,9.99989
0.0073125,9.2388,9.23865
0.007375,7.07107,7.07089
0.0074375,3.82683,3.82663
0.0075,-3.72429e-013,-0.000211471
0.0075625,-3.82683,-3.82704
0.007625,-7.07107,-7.07125
0.0076875,-9.2388,-9.23894
0.00775,-10,-10.0001
0.0078125,-9.2388,-9.23886
0.007875,-7.07107,-7.0711
0.0079375,-3.82683,-3.82684
