Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, triangular
Amplitude, 5
Frequency, 100
Phase Angle, 0
DC Offset, 10


Start Time,0, End Time,0.04
q(t=0)0

Simulation Results
t (s),V_in (volts),V_out (volts)
0,10,10
8e-005,10.8,6.96427
0.00016,11.6,4.94017
0.00024,12.4,3.58348
0.00032,13.2,2.6671
0.0004,14,2.0412
0.00048,14.8,1.60695
0.00056,15.6,1.29912
0.00064,16.4,1.07471
0.00072,17.2,0.905332
0.0008,18,0.772255
0.00088,18.8,0.663128
0.00096,19.6,0.569803
0.00104,20.4,0.486902
0.00112,21.2,0.410879
0.0012,22,0.339392
0.00128,22.8,0.2709
0.00136,23.6,0.204382
0.00144,24.4,0.139166
0.00152,25.2,0.0748107
0.0016,26,0.0110221
0.00168,26.8,-0.0523924
0.00176,27.6,-0.11556
0.00184,28.4,-0.178565
0.00192,29.2,-0.241462
0.002,30,-0.304289
0.00208,30.8,-0.367069
0.00216,31.6,-0.429818
0.00224,32.4,-0.492546
0.00232,33.2,-0.555262
0.0024,34,-0.617968
0.00248,34.8,-0.680668
0.00256,34.4,-1.72363
0.00264,33.6,-2.68797
0.00272,32.8,-3.30285
0.0028,32,-3.68717
0.00288,31.2,-3.91939
0.00296,30.4,-4.05126
0.00304,29.6,-4.11692
0.00312,28.8,-4.13892
0.0032,28,-4.13209
0.00328,27.2,-4.10626
0.00336,26.4,-4.06789
0.00344,25.6,-4.02124
0.00352,24.8,-3.96913
0.0036,24,-3.91343
0.00368,23.2,-3.85534
0.00376,22.4,-3.79569
0.00384,21.6,-3.73501
0.00392,20.8,-3.67364
0.004,20,-3.61183
0.00408,19.2,-3.54971
0.00416,18.4,-3.4874
0.00424,17.6,-3.42496
0.00432,16.8,-3.36244
0.0044,16,-3.29986
0.00448,15.2,-3.23724
0.00456,14.4,-3.1746
0.00464,13.6,-3.11194
0.00472,12.8,-3.04927
0.0048,12,-2.9866
0.00488,11.2,-2.92392
0.00496,10.4,-2.86124
0.00504,9.6,-2.79855
0.00512,8.8,-2.73586
0.0052,8,-2.67318
0.00528,7.2,-2.61049
0.00536,6.4,-2.5478
0.00544,5.6,-2.48511
0.00552,4.8,-2.42242
0.0056,4,-2.35973
0.00568,3.2,-2.29704
