Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 1
Frequency, 1000
Phase Angle, 0
DC Offset, 0


Input Voltage 2
Type, sinusoidal
Amplitude, 5
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
2e-005,1.00628,0.972552
4e-005,1.01257,0.858489
6e-005,1.01885,0.758494
8e-005,1.02513,0.670832
0.0001,1.03142,0.593981
0.00012,1.0377,0.526608
0.00014,1.04398,0.467545
0.00016,1.05026,0.415766
0.00018,1.05655,0.370373
0.0002,1.06283,0.330579
0.00022,1.06911,0.295692
0.00024,1.0754,0.265108
0.00026,1.08168,0.238296
0.00028,1.08796,0.21479
0.0003,1.09424,0.194184
0.00032,1.10052,0.176119
0.00034,1.10681,0.160281
0.00036,1.11309,0.146397
0.00038,1.11937,0.134225
0.0004,1.12565,0.123554
0.00042,1.13193,0.114199
0.00044,1.13821,0.105998
0.00046,1.14449,0.0988075
0.00048,1.15077,0.092504
0.0005,1.15705,0.0869776
0.00052,-0.836666,-1.8512
0.00054,-0.830387,-1.737
0.00056,-0.824107,-1.63689
0.00058,-0.817828,-1.54913
0.0006,-0.811549,-1.47219
0.00062,-0.805271,-1.40474
0.00064,-0.798992,-1.3456
0.00066,-0.792714,-1.29377
0.00068,-0.786437,-1.24832
0.0007,-0.780159,-1.20848
0.00072,-0.773882,-1.17356
0.00074,-0.767606,-1.14294
0.00076,-0.76133,-1.1161
0.00078,-0.755054,-1.09257
0.0008,-0.748778,-1.07194
0.00082,-0.742503,-1.05386
0.00084,-0.736229,-1.038
0.00086,-0.729954,-1.02411
0.00088,-0.723681,-1.01192
0.0009,-0.717407,-1.00124
0.00092,-0.711134,-0.991881
0.00094,-0.704862,-0.983674
0.00096,-0.69859,-0.976479
0.00098,-0.692318,-0.970172
0.001,1.31395,0.968689
0.00102,1.32022,0.855091
0.00104,1.32649,0.755503
0.00106,1.33276,0.668197
0.00108,1.33903,0.591658
0.0011,1.3453,0.524558
0.00112,1.35157,0.465733
0.00114,1.35784,0.414163
0.00116,1.3641,0.368953
0.00118,1.37037,0.329318
0.0012,1.37663,0.294571
0.00122,1.3829,0.264109
0.00124,1.38916,0.237403
0.00126,1.39543,0.213991
0.00128,1.40169,0.193465
0.0013,1.40795,0.17547
0.00132,1.41421,0.159694
0.00134,1.42048,0.145863
0.00136,1.42674,0.133738
0.00138,1.433,0.123107
0.0014,1.43926,0.113786
0.00142,1.44551,0.105615
0.00144,1.45177,0.0984505
0.00146,1.45803,0.0921691
0.00148,1.46429,0.0866618
0.0015,-0.529458,-1.8515
0.00152,-0.523204,-1.73729
0.00154,-0.516949,-1.63717
0.00156,-0.510696,-1.54939
0.00158,-0.504443,-1.47244
0.0016,-0.498191,-1.40499
0.00162,-0.49194,-1.34585
0.00164,-0.48569,-1.29401
0.00166,-0.479441,-1.24856
0.00168,-0.473192,-1.20872
0.0017,-0.466944,-1.17379
0.00172,-0.460697,-1.14317
0.00174,-0.454451,-1.11633
0.00176,-0.448206,-1.0928
0.00178,-0.441962,-1.07217
0.0018,-0.435718,-1.05409
0.00182,-0.429475,-1.03824
0.00184,-0.423234,-1.02434
0.00186,-0.416993,-1.01216
0.00188,-0.410753,-1.00148
0.0019,-0.404514,-0.992123
0.00192,-0.398276,-0.983918
0.00194,-0.392039,-0.976726
0.00196,-0.385803,-0.970422
0.00198,-0.379568,-0.964897
0.002,1.62667,0.97328
0.00202,1.6329,0.85908
0.00204,1.63913,0.758965
0.00206,1.64536,0.671195
0.00208,1.65159,0.59425
0.0021,1.65782,0.526794
0.00212,1.66405,0.467656
0.00214,1.67028,0.415811
0.00216,1.6765,0.37036
0.00218,1.68273,0.330512
0.0022,1.68895,0.295579
0.00222,1.69517,0.264953
0.00224,1.7014,0.238103
0.00226,1.70762,0.214563
0.00228,1.71384,0.193926
0.0023,1.72005,0.175833
0.00232,1.72627,0.15997
0.00234,1.73249,0.146063
0.00236,1.7387,0.13387
0.00238,1.74492,0.123179
0.0024,1.75113,0.113806
0.00242,1.75734,0.105588
0.00244,1.76355,0.0983821
0.00246,1.76976,0.092064
0.00248,1.77597,0.0865239
0.0025,-0.217828,-1.85167
0.00252,-0.211622,-1.73748
0.00254,-0.205419,-1.63738
0.00256,-0.199216,-1.54963
0.00258,-0.193014,-1.4727
0.0026,-0.186814,-1.40526
0.00262,-0.180615,-1.34614
0.00264,-0.174418,-1.29431
0.00266,-0.168221,-1.24887
0.00268,-0.162026,-1.20904
0.0027,-0.155833,-1.17413
0.00272,-0.14964,-1.14352
0.00274,-0.143449,-1.11668
0.00276,-0.13726,-1.09316
0.00278,-0.131072,-1.07254
