Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, triangular
Amplitude, 10
Frequency, 1000
Phase Angle, 0
DC Offset, 25


Simulation Results
t,V_in,V_out
0,25,25
6.25e-005,50,37.6302
0.000125,75,46.2312
0.0001875,100,52.0885
0.00025,125,56.0772
0.0003125,100,17.5825
0.000375,75,-8.63197
0.0004375,50,-26.4837
0.0005,25,-38.6406
0.0005625,-1.98556e-014,-46.9193
0.000625,-25,-52.557
0.0006875,-50,-56.3963
0.00075,-75,-59.0107
0.0008125,-50,-19.5802
0.000875,-25,7.27154
0.0009375,1.25035e-013,25.5573
0.001,25,38.0097
0.0010625,50,46.4897
0.001125,75,52.2645
0.0011875,100,56.197
0.00125,125,58.8751
0.0013125,100,19.4878
0.001375,75,-7.33446
0.0014375,50,-25.6002
0.0015,25,-38.0389
0.0015625,-3.44979e-013,-46.5096
0.001625,-25,-52.278
0.0016875,-50,-56.2062
0.00175,-75,-58.8813
0.0018125,-50,-19.4921
0.001875,-25,7.33155
0.0019375,5.06702e-013,25.5982
0.002,25,38.0376
0.0020625,50,46.5087
0.002125,75,52.2774
0.0021875,100,56.2058
0.00225,125,58.881
0.0023125,100,19.4919
0.002375,75,-7.33168
0.0024375,50,-25.5983
0.0025,25,-38.0376
0.0025625,-7.79656e-013,-46.5087
0.002625,-25,-52.2774
0.0026875,-50,-56.2058
0.00275,-75,-58.8811
0.0028125,-50,-19.4919
0.002875,-25,7.33168
0.0029375,7.18739e-013,25.5983
0.003,25,38.0376
0.0030625,50,46.5087
0.003125,75,52.2774
0.0031875,100,56.2058
0.00325,125,58.8811
0.0033125,100,19.4919
0.003375,75,-7.33168
0.0034375,50,-25.5983
0.0035,25,-38.0376
0.0035625,-9.91693e-013,-46.5087
0.003625,-25,-52.2774
0.0036875,-50,-56.2058
0.00375,-75,-58.8811
0.0038125,-50,-19.4919
0.003875,-25,7.33168
0.0039375,9.30776e-013,25.5983
0.004,25,38.0376
0.0040625,50,46.5087
0.004125,75,52.2774
0.0041875,100,56.2058
