Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 10
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.0006,10,-110
0.0012,10,-3360.06
0.0018,10,-104114
0.0024,10,-3.22752e+006
0.003,10,-1.00055e+008
0.0036,10,-3.10175e+009
0.0042,10,-9.61557e+010
0.0048,10,-2.98088e+012
0.0054,10,-9.24086e+013
0.006,10,-2.86471e+015
0.0066,10,-8.88075e+016
0.0072,10,-2.75308e+018
0.0078,10,-8.53468e+019
0.0084,10,-2.64579e+021
0.009,10,-8.20209e+022
0.0096,10,-2.54269e+024
0.0102,10,-7.88247e+025
0.0108,10,-2.4436e+027
0.0114,10,-7.57529e+028
0.012,10,-2.34838e+030
0.0126,10,-7.28009e+031
0.0132,10,-2.25686e+033
0.0138,10,-6.99639e+034
0.0144,10,-2.16892e+036
0.015,10,-6.72375e+037
0.0156,10,-2.0844e+039
0.0162,10,-6.46173e+040
0.0168,10,-2.00317e+042
0.0174,10,-6.20993e+043
0.018,10,-1.92511e+045
0.0186,10,-5.96793e+046
0.0192,10,-1.85009e+048
0.0198,10,-5.73537e+049
0.0204,10,-1.77799e+051
0.021,10,-5.51187e+052
0.0216,10,-1.70871e+054
0.0222,10,-5.29707e+055
0.0228,10,-1.64212e+057
0.0234,10,-5.09065e+058
0.024,10,-1.57813e+060
0.0246,10,-4.89227e+061
0.0252,10,-1.51663e+063
0.0258,10,-4.70163e+064
0.0264,10,-1.45753e+066
0.027,10,-4.51841e+067
0.0276,10,-1.40073e+069
0.0282,10,-4.34233e+070
0.0288,10,-1.34614e+072
0.0294,10,-4.17312e+073
0.03,10,-1.29369e+075
0.0306,10,-4.01049e+076
0.0312,10,-1.24327e+078
0.0318,10,-3.85421e+079
0.0324,10,-1.19482e+081
0.033,10,-3.70401e+082
0.0336,10,-1.14826e+084
0.0342,10,-3.55967e+085
0.0348,10,-1.10352e+087
0.0354,10,-3.42096e+088
0.036,10,-1.06051e+090
0.0366,10,-3.28764e+091
0.0372,10,-1.01919e+093
0.0378,10,-3.15953e+094
0.0384,10,-9.79469e+095
0.039,10,-3.0364e+097
0.0396,10,-9.41301e+098
0.0402,10,-2.91808e+100
0.0408,10,-9.04619e+101
0.0414,10,-2.80436e+103
0.042,10,-8.69367e+104
0.0426,10,-2.69508e+106
0.0432,10,-8.35489e+107
0.0438,10,-2.59006e+109
0.0444,10,-8.0293e+110
0.045,10,-2.48912e+112
0.0456,10,-7.71641e+113
0.0462,10,-2.39213e+115
0.0468,10,-7.41571e+116
0.0474,10,-2.29891e+118
0.048,10,-7.12673e+119
0.0486,10,-2.20932e+121
0.0492,10,-6.849e+122
0.0498,10,-2.12323e+124
0.0504,-10,-6.58211e+125
0.051,-10,-2.04049e+127
0.0516,-10,-6.32561e+128
0.0522,-10,-1.96097e+130
0.0528,-10,-6.07911e+131
0.0534,-10,-1.88455e+133
0.054,-10,-5.84221e+134
0.0546,-10,-1.81111e+136
0.0552,-10,-5.61454e+137
0.0558,-10,-1.74054e+139
0.0564,-10,-5.39575e+140
0.057,-10,-1.67271e+142
0.0576,-10,-5.18548e+143
0.0582,-10,-1.60753e+145
0.0588,-10,-4.98341e+146
0.0594,-10,-1.54488e+148
0.06,-10,-4.78921e+149
0.0606,-10,-1.48468e+151
0.0612,-10,-4.60258e+152
0.0618,-10,-1.42682e+154
0.0624,-10,-4.42322e+155
0.063,-10,-1.37122e+157
0.0636,-10,-4.25085e+158
0.0642,-10,-1.31779e+160
0.0648,-10,-4.0852e+161
0.0654,-10,-1.26643e+163
0.066,-10,-3.92601e+164
0.0666,-10,-1.21708e+166
0.0672,-10,-3.77301e+167
0.0678,-10,-1.16965e+169
0.0684,-10,-3.62598e+170
0.069,-10,-1.12407e+172
0.0696,-10,-3.48468e+173
0.0702,-10,-1.08027e+175
