Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 5
Frequency, 100
Phase Angle, 0
DC Offset, 0


Simulation Results
t (s),V_in (volts),V_out (volts)
0,0,-3e+007
8e-005,5,-1.97919e+007
0.00016,5,-1.30573e+007
0.00024,5,-8.61432e+006
0.00032,5,-5.68313e+006
0.0004,5,-3.74934e+006
0.00048,5,-2.47355e+006
0.00056,5,-1.63188e+006
0.00064,5,-1.0766e+006
0.00072,5,-710267
0.0008,5,-468585
0.00088,5,-309140
0.00096,5,-203949
0.00104,5,-134552
0.00112,5,-88768
0.0012,5,-58563.1
0.00128,5,-38636
0.00136,5,-25489.5
0.00144,5,-16816.3
0.00152,5,-11094.4
0.0016,5,-7319.44
0.00168,5,-4828.99
0.00176,5,-3185.97
0.00184,5,-2102.01
0.00192,5,-1386.9
0.002,5,-915.111
0.00208,5,-603.86
0.00216,5,-398.519
0.00224,5,-263.048
0.00232,5,-173.674
0.0024,5,-114.712
0.00248,5,-75.8121
0.00256,5,-50.1489
0.00264,5,-33.2181
0.00272,5,-22.0483
0.0028,5,-14.6793
0.00288,5,-9.81768
0.00296,5,-6.61034
0.00304,5,-4.49437
0.00312,5,-3.09839
0.0032,5,-2.17742
0.00328,5,-1.56983
0.00336,5,-1.16899
0.00344,5,-0.904536
0.00352,5,-0.73007
0.0036,5,-0.61497
0.00368,5,-0.539034
0.00376,5,-0.488938
0.00384,5,-0.455887
0.00392,5,-0.434083
0.004,5,-0.419698
0.00408,5,-0.410207
0.00416,5,-0.403946
0.00424,5,-0.399816
0.00432,5,-0.397091
0.0044,5,-0.395293
0.00448,5,-0.394107
0.00456,5,-0.393324
0.00464,5,-0.392808
0.00472,5,-0.392468
0.0048,5,-0.392243
0.00488,5,-0.392095
0.00496,5,-0.391997
0.00504,-5,-7.56527
0.00512,-5,-4.85772
0.0052,-5,-3.07147
0.00528,-5,-1.89302
0.00536,-5,-1.11556
0.00544,-5,-0.602651
0.00552,-5,-0.264268
0.0056,-5,-0.0410254
0.00568,-5,0.106254
0.00576,-5,0.203419
0.00584,-5,0.267522
0.00592,-5,0.309812
0.006,-5,0.337713
0.00608,-5,0.356119
0.00616,-5,0.368263
0.00624,-5,0.376274
0.00632,-5,0.38156
0.0064,-5,0.385047
0.00648,-5,0.387347
0.00656,-5,0.388865
0.00664,-5,0.389866
0.00672,-5,0.390527
0.0068,-5,0.390962
0.00688,-5,0.39125
0.00696,-5,0.39144
0.00704,-5,0.391565
0.00712,-5,0.391647
0.0072,-5,0.391702
0.00728,-5,0.391738
0.00736,-5,0.391761
0.00744,-5,0.391777
0.00752,-5,0.391787
0.0076,-5,0.391794
0.00768,-5,0.391799
0.00776,-5,0.391802
0.00784,-5,0.391803
0.00792,-5,0.391805
0.008,-5,0.391806
0.00808,-5,0.391806
0.00816,-5,0.391807
0.00824,-5,0.391807
0.00832,-5,0.391807
0.0084,-5,0.391807
0.00848,-5,0.391807
0.00856,-5,0.391807
0.00864,-5,0.391807
0.00872,-5,0.391807
0.0088,-5,0.391807
0.00888,-5,0.391807
0.00896,-5,0.391807
0.00904,-5,0.391807
0.00912,-5,0.391807
0.0092,-5,0.391807
0.00928,-5,0.391807
0.00936,-5,0.391807
0.00944,-5,0.391807
0.00952,-5,0.391807
0.0096,-5,0.391807
0.00968,-5,0.391807
0.00976,-5,0.391807
0.00984,-5,0.391807
0.00992,-5,0.391807
0.01,5,9.05847
0.01008,5,5.84283
0.01016,5,3.72138
0.01024,5,2.32179
0.01032,5,1.39843
0.0104,5,0.789269
0.01048,5,0.387385
0.01056,5,0.12225
0.01064,5,-0.052668
0.01072,5,-0.168067
0.0108,5,-0.244199
0.01088,5,-0.294425
0.01096,5,-0.327561
0.01104,5,-0.349422
0.01112,5,-0.363845
0.0112,5,-0.373359
0.01128,5,-0.379637
0.01136,5,-0.383778
0.01144,5,-0.38651
0.01152,5,-0.388313
0.0116,5,-0.389502
0.01168,5,-0.390286
0.01176,5,-0.390804
0.01184,5,-0.391145
0.01192,5,-0.391371
0.012,5,-0.391519
0.01208,5,-0.391617
0.01216,5,-0.391682
0.01224,5,-0.391725
0.01232,5,-0.391753
0.0124,5,-0.391771
0.01248,5,-0.391784
0.01256,5,-0.391792
0.01264,5,-0.391797
0.01272,5,-0.3918
0.0128,5,-0.391803
0.01288,5,-0.391804
0.01296,5,-0.391805
0.01304,5,-0.391806
0.01312,5,-0.391806
0.0132,5,-0.391807
0.01328,5,-0.391807
0.01336,5,-0.391807
0.01344,5,-0.391807
0.01352,5,-0.391807
0.0136,5,-0.391807
0.01368,5,-0.391807
0.01376,5,-0.391807
0.01384,5,-0.391807
0.01392,5,-0.391807
0.014,5,-0.391807
0.01408,5,-0.391807
0.01416,5,-0.391807
0.01424,5,-0.391807
0.01432,5,-0.391807
0.0144,5,-0.391807
0.01448,5,-0.391807
0.01456,5,-0.391807
0.01464,5,-0.391807
0.01472,5,-0.391807
0.0148,5,-0.391807
0.01488,5,-0.391807
0.01496,5,-0.391807
0.01504,-5,-7.56514
0.01512,-5,-4.85764
0.0152,-5,-3.07141
0.01528,-5,-1.89298
0.01536,-5,-1.11554
0.01544,-5,-0.602636
0.01552,-5,-0.264257
0.0156,-5,-0.0410186
0.01568,-5,0.106259
0.01576,-5,0.203422
0.01584,-5,0.267524
0.01592,-5,0.309814
0.016,-5,0.337714
0.01608,-5,0.35612
0.01616,-5,0.368263
0.01624,-5,0.376275
0.01632,-5,0.38156
0.0164,-5,0.385047
0.01648,-5,0.387347
0.01656,-5,0.388865
0.01664,-5,0.389866
0.01672,-5,0.390527
0.0168,-5,0.390962
0.01688,-5,0.39125
0.01696,-5,0.39144
0.01704,-5,0.391565
0.01712,-5,0.391647
0.0172,-5,0.391702
0.01728,-5,0.391738
0.01736,-5,0.391761
0.01744,-5,0.391777
0.01752,-5,0.391787
0.0176,-5,0.391794
0.01768,-5,0.391799
0.01776,-5,0.391802
0.01784,-5,0.391803
0.01792,-5,0.391805
0.018,-5,0.391806
0.01808,-5,0.391806
0.01816,-5,0.391807
0.01824,-5,0.391807
0.01832,-5,0.391807
0.0184,-5,0.391807
0.01848,-5,0.391807
0.01856,-5,0.391807
0.01864,-5,0.391807
0.01872,-5,0.391807
0.0188,-5,0.391807
0.01888,-5,0.391807
0.01896,-5,0.391807
0.01904,-5,0.391807
0.01912,-5,0.391807
0.0192,-5,0.391807
0.01928,-5,0.391807
0.01936,-5,0.391807
0.01944,-5,0.391807
0.01952,-5,0.391807
0.0196,-5,0.391807
0.01968,-5,0.391807
0.01976,-5,0.391807
0.01984,-5,0.391807
0.01992,-5,0.391807
0.02,5,9.05847
0.02008,5,5.84283
0.02016,5,3.72138
0.02024,5,2.32179
0.02032,5,1.39843
0.0204,5,0.789269
0.02048,5,0.387385
0.02056,5,0.12225
0.02064,5,-0.052668
0.02072,5,-0.168067
0.0208,5,-0.244199
0.02088,5,-0.294425
0.02096,5,-0.327561
0.02104,5,-0.349422
0.02112,5,-0.363845
0.0212,5,-0.373359
0.02128,5,-0.379637
0.02136,5,-0.383778
0.02144,5,-0.38651
0.02152,5,-0.388313
0.0216,5,-0.389502
0.02168,5,-0.390286
0.02176,5,-0.390804
0.02184,5,-0.391145
0.02192,5,-0.391371
0.022,5,-0.391519
0.02208,5,-0.391617
0.02216,5,-0.391682
0.02224,5,-0.391725
0.02232,5,-0.391753
0.0224,5,-0.391771
0.02248,5,-0.391784
0.02256,5,-0.391792
0.02264,5,-0.391797
0.02272,5,-0.3918
0.0228,5,-0.391803
0.02288,5,-0.391804
0.02296,5,-0.391805
0.02304,5,-0.391806
0.02312,5,-0.391806
0.0232,5,-0.391807
0.02328,5,-0.391807
0.02336,5,-0.391807
0.02344,5,-0.391807
0.02352,5,-0.391807
0.0236,5,-0.391807
0.02368,5,-0.391807
0.02376,5,-0.391807
0.02384,5,-0.391807
0.02392,5,-0.391807
0.024,5,-0.391807
0.02408,5,-0.391807
0.02416,5,-0.391807
0.02424,5,-0.391807
0.02432,5,-0.391807
0.0244,5,-0.391807
0.02448,5,-0.391807
0.02456,5,-0.391807
0.02464,5,-0.391807
0.02472,5,-0.391807
0.0248,5,-0.391807
0.02488,5,-0.391807
0.02496,5,-0.391807
0.02504,-5,-7.56514
0.02512,-5,-4.85764
0.0252,-5,-3.07141
0.02528,-5,-1.89298
0.02536,-5,-1.11554
0.02544,-5,-0.602636
0.02552,-5,-0.264257
0.0256,-5,-0.0410186
0.02568,-5,0.106259
0.02576,-5,0.203422
0.02584,-5,0.267524
0.02592,-5,0.309814
0.026,-5,0.337714
0.02608,-5,0.35612
0.02616,-5,0.368263
0.02624,-5,0.376275
